"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1731","Registration with correct email, username and password","LMS system","Mon Feb 16 14:38:23 UTC 2026","passed","Mon Feb 16 14:38:24 UTC 2026","Registration","Authentication","",""
"","1723","Check displaying of dashboard page","LMS system","Mon Feb 16 14:38:43 UTC 2026","passed","Mon Feb 16 14:38:45 UTC 2026","Dashboard","Dashboard","",""
"","1678","User login with wrong email or password","LMS system","Mon Feb 16 14:38:06 UTC 2026","passed","Mon Feb 16 14:38:08 UTC 2026","Authorization","Authentication","",""
"","1484","Check displaying of dashboard page","LMS system","Mon Feb 16 14:38:41 UTC 2026","passed","Mon Feb 16 14:38:42 UTC 2026","Dashboard","Dashboard","",""
"","1397","User login with wrong email or password","LMS system","Mon Feb 16 14:38:11 UTC 2026","passed","Mon Feb 16 14:38:12 UTC 2026","Authorization","Authentication","",""
"","1404","Check displaying of dashboard page","LMS system","Mon Feb 16 14:38:44 UTC 2026","passed","Mon Feb 16 14:38:46 UTC 2026","Dashboard","Dashboard","",""
"","1395","Navigation from login page to registration page","LMS system","Mon Feb 16 14:38:18 UTC 2026","passed","Mon Feb 16 14:38:19 UTC 2026","Authorization","Authentication","",""
"","2483","Create course","LMS system","Mon Feb 16 14:38:30 UTC 2026","passed","Mon Feb 16 14:38:33 UTC 2026","Courses","Courses","",""
"","1537","User login with wrong email or password","LMS system","Mon Feb 16 14:38:14 UTC 2026","passed","Mon Feb 16 14:38:16 UTC 2026","Authorization","Authentication","",""
"","1461","Navigation from login page to registration page","LMS system","Mon Feb 16 14:38:20 UTC 2026","passed","Mon Feb 16 14:38:22 UTC 2026","Authorization","Authentication","",""
"","1154","User login with wrong email or password","LMS system","Mon Feb 16 14:38:04 UTC 2026","passed","Mon Feb 16 14:38:05 UTC 2026","Authorization","Authentication","",""
"","1258","Check displaying of empty courses list","LMS system","Mon Feb 16 14:38:30 UTC 2026","passed","Mon Feb 16 14:38:32 UTC 2026","Courses","Courses","",""
"","1378","User login with wrong email or password","LMS system","Mon Feb 16 14:38:10 UTC 2026","passed","Mon Feb 16 14:38:12 UTC 2026","Authorization","Authentication","",""
"","2480","Create course","LMS system","Mon Feb 16 14:38:33 UTC 2026","passed","Mon Feb 16 14:38:35 UTC 2026","Courses","Courses","",""
"","2659","User login with correct email and password","LMS system","Mon Feb 16 14:38:19 UTC 2026","passed","Mon Feb 16 14:38:21 UTC 2026","Authorization","Authentication","",""
"","2792","Edit course","LMS system","Mon Feb 16 14:38:38 UTC 2026","passed","Mon Feb 16 14:38:41 UTC 2026","Courses","Courses","",""
"","1343","User login with wrong email or password","LMS system","Mon Feb 16 14:38:02 UTC 2026","passed","Mon Feb 16 14:38:04 UTC 2026","Authorization","Authentication","",""
"","2268","Edit course","LMS system","Mon Feb 16 14:38:35 UTC 2026","passed","Mon Feb 16 14:38:38 UTC 2026","Courses","Courses","",""
"","1985","User login with correct email and password","LMS system","Mon Feb 16 14:38:16 UTC 2026","passed","Mon Feb 16 14:38:18 UTC 2026","Authorization","Authentication","",""
"","2301","Create course","LMS system","Mon Feb 16 14:38:34 UTC 2026","passed","Mon Feb 16 14:38:37 UTC 2026","Courses","Courses","",""
"","1195","User login with wrong email or password","LMS system","Mon Feb 16 14:38:05 UTC 2026","passed","Mon Feb 16 14:38:06 UTC 2026","Authorization","Authentication","",""
"","2667","User login with correct email and password","LMS system","Mon Feb 16 14:38:13 UTC 2026","passed","Mon Feb 16 14:38:15 UTC 2026","Authorization","Authentication","",""
"","1900","Registration with correct email, username and password","LMS system","Mon Feb 16 14:38:23 UTC 2026","passed","Mon Feb 16 14:38:25 UTC 2026","Registration","Authentication","",""
"","2479","Edit course","LMS system","Mon Feb 16 14:38:39 UTC 2026","passed","Mon Feb 16 14:38:42 UTC 2026","Courses","Courses","",""
"","1225","Navigation from login page to registration page","LMS system","Mon Feb 16 14:38:16 UTC 2026","passed","Mon Feb 16 14:38:17 UTC 2026","Authorization","Authentication","",""
"","1360","User login with wrong email or password","LMS system","Mon Feb 16 14:38:08 UTC 2026","passed","Mon Feb 16 14:38:09 UTC 2026","Authorization","Authentication","",""
"","1458","Registration with correct email, username and password","LMS system","Mon Feb 16 14:38:25 UTC 2026","passed","Mon Feb 16 14:38:26 UTC 2026","Registration","Authentication","",""
"","1229","User login with wrong email or password","LMS system","Mon Feb 16 14:38:09 UTC 2026","passed","Mon Feb 16 14:38:10 UTC 2026","Authorization","Authentication","",""
"","1255","Check displaying of empty courses list","LMS system","Mon Feb 16 14:38:27 UTC 2026","passed","Mon Feb 16 14:38:29 UTC 2026","Courses","Courses","",""
"","1280","Check displaying of empty courses list","LMS system","Mon Feb 16 14:38:29 UTC 2026","passed","Mon Feb 16 14:38:30 UTC 2026","Courses","Courses","",""
