"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 03 17:27:40 MSK 2026","Tue Feb 03 17:27:43 MSK 2026","3147","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:29:53 MSK 2026","Tue Feb 03 17:29:57 MSK 2026","3658","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Feb 03 17:27:57 MSK 2026","Tue Feb 03 17:28:03 MSK 2026","5813","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Feb 03 17:28:54 MSK 2026","Tue Feb 03 17:28:56 MSK 2026","2737","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Feb 03 17:28:07 MSK 2026","Tue Feb 03 17:28:11 MSK 2026","4912","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Feb 03 17:29:45 MSK 2026","Tue Feb 03 17:29:50 MSK 2026","5140","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Feb 03 17:27:53 MSK 2026","Tue Feb 03 17:27:57 MSK 2026","3701","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Feb 03 17:29:28 MSK 2026","Tue Feb 03 17:29:32 MSK 2026","4011","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Feb 03 17:27:03 MSK 2026","Tue Feb 03 17:27:08 MSK 2026","4716","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:27:47 MSK 2026","Tue Feb 03 17:27:51 MSK 2026","3539","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:28:29 MSK 2026","Tue Feb 03 17:28:32 MSK 2026","2809","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Feb 03 17:28:14 MSK 2026","Tue Feb 03 17:28:17 MSK 2026","2664","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Feb 03 17:28:24 MSK 2026","Tue Feb 03 17:28:27 MSK 2026","3032","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Feb 03 17:27:13 MSK 2026","Tue Feb 03 17:27:16 MSK 2026","3246","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:29:33 MSK 2026","Tue Feb 03 17:29:41 MSK 2026","7322","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Feb 03 17:27:25 MSK 2026","Tue Feb 03 17:27:28 MSK 2026","2506","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:27:09 MSK 2026","Tue Feb 03 17:27:11 MSK 2026","2484","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:28:39 MSK 2026","Tue Feb 03 17:28:43 MSK 2026","4072","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Feb 03 17:28:49 MSK 2026","Tue Feb 03 17:28:52 MSK 2026","2464","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Feb 03 17:29:01 MSK 2026","Tue Feb 03 17:29:04 MSK 2026","3061","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Feb 03 17:28:33 MSK 2026","Tue Feb 03 17:28:36 MSK 2026","3383","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Feb 03 17:29:12 MSK 2026","Tue Feb 03 17:29:17 MSK 2026","4863","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Feb 03 17:30:05 MSK 2026","Tue Feb 03 17:30:09 MSK 2026","3538","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Feb 03 17:27:31 MSK 2026","Tue Feb 03 17:27:35 MSK 2026","3684","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:28:17 MSK 2026","Tue Feb 03 17:28:20 MSK 2026","2651","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Feb 03 17:29:06 MSK 2026","Tue Feb 03 17:29:10 MSK 2026","4063","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Feb 03 17:27:17 MSK 2026","Tue Feb 03 17:27:19 MSK 2026","2856","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:29:58 MSK 2026","Tue Feb 03 17:30:00 MSK 2026","2316","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Feb 03 17:27:20 MSK 2026","Tue Feb 03 17:27:25 MSK 2026","4568","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:29:21 MSK 2026","Tue Feb 03 17:29:25 MSK 2026","4717","LMS system","Courses","Courses","","","Create course",""
