"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 03 17:18:42 MSK 2026","Tue Feb 03 17:18:47 MSK 2026","4612","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Feb 03 17:18:48 MSK 2026","Tue Feb 03 17:18:52 MSK 2026","3478","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Feb 03 17:18:09 MSK 2026","Tue Feb 03 17:18:12 MSK 2026","2389","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Feb 03 17:18:13 MSK 2026","Tue Feb 03 17:18:16 MSK 2026","3510","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Feb 03 17:17:24 MSK 2026","Tue Feb 03 17:17:28 MSK 2026","3469","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:18:30 MSK 2026","Tue Feb 03 17:18:33 MSK 2026","3358","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Feb 03 17:18:23 MSK 2026","Tue Feb 03 17:18:29 MSK 2026","5840","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Feb 03 17:18:18 MSK 2026","Tue Feb 03 17:18:22 MSK 2026","3723","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Feb 03 17:18:35 MSK 2026","Tue Feb 03 17:18:41 MSK 2026","6718","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Feb 03 17:17:34 MSK 2026","Tue Feb 03 17:17:38 MSK 2026","4357","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Feb 03 17:17:20 MSK 2026","Tue Feb 03 17:17:23 MSK 2026","3393","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:17:08 MSK 2026","Tue Feb 03 17:17:12 MSK 2026","3489","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:17:28 MSK 2026","Tue Feb 03 17:17:33 MSK 2026","4682","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:18:00 MSK 2026","Tue Feb 03 17:18:04 MSK 2026","3980","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Feb 03 17:17:47 MSK 2026","Tue Feb 03 17:17:50 MSK 2026","3450","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Feb 03 17:17:39 MSK 2026","Tue Feb 03 17:17:45 MSK 2026","6246","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Feb 03 17:17:17 MSK 2026","Tue Feb 03 17:17:19 MSK 2026","2472","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:17:51 MSK 2026","Tue Feb 03 17:17:53 MSK 2026","2406","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Feb 03 17:17:54 MSK 2026","Tue Feb 03 17:17:59 MSK 2026","5182","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Feb 03 17:17:13 MSK 2026","Tue Feb 03 17:17:15 MSK 2026","2395","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
