"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 03 17:23:17 MSK 2026","Tue Feb 03 17:23:20 MSK 2026","2782","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Feb 03 17:21:51 MSK 2026","Tue Feb 03 17:21:54 MSK 2026","3743","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:23:39 MSK 2026","Tue Feb 03 17:23:44 MSK 2026","4808","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Feb 03 17:22:47 MSK 2026","Tue Feb 03 17:22:51 MSK 2026","3491","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Feb 03 17:22:17 MSK 2026","Tue Feb 03 17:22:21 MSK 2026","4016","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:23:24 MSK 2026","Tue Feb 03 17:23:28 MSK 2026","3179","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Feb 03 17:24:06 MSK 2026","Tue Feb 03 17:24:09 MSK 2026","3281","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Feb 03 17:22:59 MSK 2026","Tue Feb 03 17:23:04 MSK 2026","4831","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Feb 03 17:22:26 MSK 2026","Tue Feb 03 17:22:29 MSK 2026","3186","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:23:57 MSK 2026","Tue Feb 03 17:24:04 MSK 2026","6751","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Feb 03 17:22:10 MSK 2026","Tue Feb 03 17:22:12 MSK 2026","2684","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:23:30 MSK 2026","Tue Feb 03 17:23:35 MSK 2026","5355","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Feb 03 17:21:55 MSK 2026","Tue Feb 03 17:22:01 MSK 2026","5722","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:22:01 MSK 2026","Tue Feb 03 17:22:06 MSK 2026","4759","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Feb 03 17:23:46 MSK 2026","Tue Feb 03 17:23:53 MSK 2026","7178","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Feb 03 17:22:30 MSK 2026","Tue Feb 03 17:22:36 MSK 2026","5404","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Feb 03 17:22:39 MSK 2026","Tue Feb 03 17:22:45 MSK 2026","6290","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Feb 03 17:24:14 MSK 2026","Tue Feb 03 17:24:17 MSK 2026","3370","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Feb 03 17:22:54 MSK 2026","Tue Feb 03 17:22:58 MSK 2026","3956","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Feb 03 17:23:08 MSK 2026","Tue Feb 03 17:23:11 MSK 2026","3535","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
